Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_accuracy3	best_validation_loss	dataset_reader.granularity	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.tokens.type	dataset_reader.type	dataset_reader.use_subtrees	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.elmo.do_layer_norm	model.elmo.dropout	model.elmo.num_output_representations	model.elmo.options_file	model.elmo.weight_file	model.embedding_dropout	model.encoder.bidirectional	model.encoder.hidden_size	model.encoder.input_size	model.encoder.num_layers	model.encoder.type	model.integrator.bidirectional	model.integrator.hidden_size	model.integrator.input_size	model.integrator.num_layers	model.integrator.type	model.integrator_dropout	model.output_layer.dropout	model.output_layer.input_dim	model.output_layer.num_layers	model.output_layer.output_dims	model.output_layer.pool_sizes	model.pre_encode_feedforward.activations	model.pre_encode_feedforward.dropout	model.pre_encode_feedforward.hidden_dims	model.pre_encode_feedforward.input_dim	model.pre_encode_feedforward.num_layers	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	model.use_input_elmo	model.use_integrator_output_elmo	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	test_accuracy	test_accuracy3	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_accuracy3	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_accuracy3	validation_data_path	validation_dataset_reader.granularity	validation_dataset_reader.token_indexers.elmo.type	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.type	validation_dataset_reader.use_subtrees	validation_loss	dataset_reader.sample	embedding
0	19	0.8704128440366973	1.0	0.32250339537858963	2-class	elmo_characters	single_id	sst_tokens	True	28	True	64	[['tokens', 'num_tokens']]	bucket	False	0.2	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.4	True	404	199	2	lstm	True	73	2424	2	lstm	0.2	[0, 0]	584	2	[354, 2]	6	tanh	0.1	[199, 199, 199]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4454.6759999999995	4335	5061	6753	5759	5355	6031	4519	6425	0.8797364085667215	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2891575437167595	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.008733377976113905	adam	10	+accuracy	0.900965645686985	1.0	4454.6759999999995	5230.0	28	4335	3929	5495	5507	2787	6031	4519	6425	0.23989232655233397	0	0.8681192660550459	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.31525891912834986	6919	elmo frozen
1	12	0.893348623853211	1.0	0.2716671217765127	2-class	elmo_characters	single_id	sst_tokens	True	21	True	64	[['tokens', 'num_tokens']]	bucket	False	0.1	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.4	True	472	311	2	lstm	True	105	2832	3	lstm	0.3	[0.1, 0.1, 0.1, 0]	840	4	[511, 511, 511, 2]	4	relu	0.1	[311, 311, 311]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4513.456	4335	5061	6753	5759	5355	6031	4519	6425	0.8940142778693025	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.24281996951021	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	7	0.5	2	reduce_on_plateau	50	1	2.7085827996621437e-05	adam	10	+accuracy	0.9206935643865012	1.0	4513.456	4189.0	21	4335	3929	5495	5507	2787	6031	4519	6425	0.1972529230750325	0	0.8910550458715596	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.2700731871383531	6919	elmo frozen
2	1	0.5091743119266054	1.0	959.8511744907923	2-class	elmo_characters	single_id	sst_tokens	True	10	True	64	[['tokens', 'num_tokens']]	bucket	False	0.2	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.1	True	375	474	3	lstm	True	300	2250	3	lstm	0.0	[0.3, 0]	2400	2	[471, 2]	5	relu	0.2	[474, 474, 474]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4549.056	4687	4693	3689	5005	4311	4437	5589	6091	0.499176276771005	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	958.7159234408673	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.04621150201078774	adam	10	+accuracy	0.5010830617243962	1.0	4549.056	2136.0	10	4687	2517	3689	5005	4311	4437	5589	5409	65.28137862334907	0	0.5091743119266054	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	1.6259448443140303	6919	elmo frozen
3	16	0.9059633027522936	1.0	0.24828723392316274	2-class	elmo_characters	single_id	sst_tokens	True	25	True	64	[['tokens', 'num_tokens']]	bucket	False	0.4	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.3	True	66	132	2	lstm	True	496	396	3	lstm	0.0	[0.2, 0.2, 0]	3968	3	[487, 487, 2]	5	tanh	0.3	[132, 132, 132]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4485.068	4687	5613	6083	5893	5301	5033	6185	3975	0.9055464030752334	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2284632510152356	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	0.0019256636640025203	adam	10	+accuracy	0.9292568374597648	1.0	4485.068	4963.0	25	0	5613	6083	5893	5301	0	0	3975	0.17406210569433211	0	0.9025229357798163	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.25549537794930594	6919	elmo frozen
4	18	0.8302752293577982	1.0	0.3710033872297832	2-class	elmo_characters	single_id	sst_tokens	True	27	True	64	[['tokens', 'num_tokens']]	bucket	False	0.1	2	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.4	True	139	214	3	lstm	True	222	834	3	lstm	0.0	[0.1, 0.1, 0]	5872	3	[507, 507, 2]	5	relu	0.1	[214, 214, 214]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	True	4446.648	4687	5611	5489	5893	5301	5033	6185	6091	0.8610653487095002	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.33756768600694065	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	7	0.5	2	reduce_on_plateau	50	1	2.0723438830418884e-06	adam	10	+accuracy	0.8956110694981476	1.0	4446.648	6302.0	27	4687	5611	4343	5893	5301	5033	6185	3973	0.2519490938679523	0	0.8291284403669725	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.3706458434462547	6919	elmo frozen
5	15	0.9059633027522936	1.0	0.2867956374372755	2-class	elmo_characters	single_id	sst_tokens	True	24	True	64	[['tokens', 'num_tokens']]	bucket	False	0.3	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.1	True	363	499	1	lstm	True	115	2178	3	lstm	0.1	[0, 0]	920	2	[428, 2]	5	relu	0.4	[499, 499, 499]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4455.184	5093	5129	6753	5759	4243	5109	5991	4385	0.9066447007138936	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.25785599289269284	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	7.40915330222136e-05	adam	10	+accuracy	0.958701945462275	1.0	4455.184	4389.0	24	5093	4465	6753	5759	4243	5109	4371	993	0.11211967074319508	0	0.9002293577981652	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.2931643447705677	6919	elmo frozen
6	19	0.8853211009174312	1.0	0.3107412606477737	2-class	elmo_characters	single_id	sst_tokens	True	28	True	64	[['tokens', 'num_tokens']]	bucket	False	0.1	2	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.4	True	406	424	3	lstm	True	331	2436	3	lstm	0.1	[0, 0, 0]	6744	3	[426, 426, 2]	4	tanh	0.2	[424, 424, 424]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	True	4532.436	5069	5129	5067	5557	5879	5109	5991	7551	0.8923668314113125	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2598587166646431	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	9.728737027984048e-06	adam	10	+accuracy	0.9372026641294006	1.0	4532.436	6774.0	28	4253	5129	5067	5557	5879	5109	5991	4385	0.16118914147457736	0	0.8807339449541285	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.3132699270333563	6919	elmo frozen
7	8	0.7844036697247706	1.0	4.6582246507917136	2-class	elmo_characters	single_id	sst_tokens	True	17	True	64	[['tokens', 'num_tokens']]	bucket	False	0.0	2	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.2	True	121	507	2	lstm	True	207	726	2	lstm	0.1	[0, 0, 0, 0]	5752	4	[123, 123, 123, 2]	5	tanh	0.3	[507, 507, 507]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	True	4451.392	5093	5061	6753	5759	5355	6031	4519	4385	0.7885777045579352	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	4.322978278686262	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	0.024379012787377703	adam	10	+accuracy	0.8320950665020143	1.0	4451.392	3863.0000000000014	17	4335	5061	6753	5759	5355	6031	4519	3915	0.4313958786534136	0	0.7694954128440367	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.5196923868996757	6919	elmo frozen
8	4	0.9128440366972476	1.0	0.23539789074233602	2-class	elmo_characters	single_id	sst_tokens	True	13	True	64	[['tokens', 'num_tokens']]	bucket	False	0.4	2	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.4	True	377	110	3	lstm	True	428	2262	1	lstm	0.3	[0, 0, 0, 0]	7520	4	[172, 172, 172, 2]	3	relu	0.0	[110, 110, 110]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	True	4520.736	4687	4693	3689	5005	5301	5031	5591	5409	0.9044481054365732	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2174093345629758	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	0.0002243257562293813	adam	10	+accuracy	0.9567483855294856	1.0	4520.736	3098.0	13	4687	3111	3689	5005	5301	5031	5591	5409	0.1098697763334458	0	0.9036697247706422	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.24980282597243786	6919	elmo frozen
9	6	0.838302752293578	1.0	0.3593978519950594	2-class	elmo_characters	single_id	sst_tokens	True	15	True	64	[['tokens', 'num_tokens']]	bucket	False	0.2	2	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.3	True	415	320	2	lstm	True	449	2490	3	lstm	0.4	[0.3, 0.3, 0]	7688	3	[392, 392, 2]	3	relu	0.2	[320, 320, 320]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	True	4580.528	5069	5127	4423	4755	5879	5109	5397	7551	0.8583196046128501	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.33222263229304344	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	3.5927166944291053e-06	adam	10	+accuracy	0.8857218049679131	1.0	4580.528	3689.0000000000014	15	5069	5127	4423	4755	5879	5109	5397	7551	0.2731245695999365	0	0.8348623853211009	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.3598981904132025	6919	elmo frozen
10	24	0.838302752293578	1.0	0.3610011999096189	2-class	elmo_characters	single_id	sst_tokens	True	33	True	64	[['tokens', 'num_tokens']]	bucket	False	0.2	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.3	True	243	234	3	lstm	True	95	1458	2	lstm	0.4	[0.4, 0.4, 0]	760	3	[404, 404, 2]	5	tanh	0.2	[234, 234, 234]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4457.424	4335	4693	5495	5507	2787	6033	4519	6425	0.8616144975288303	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.31939478167172136	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	6	0.5	2	reduce_on_plateau	50	1	5.6936942986314365e-06	adam	10	+accuracy	0.8852258234305727	1.0	4457.424	6234.0	33	4093	4693	3689	2967	2787	3519	3433	6091	0.2773171589791852	0	0.8348623853211009	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.3633470929094723	6919	elmo frozen
11	11	0.8910550458715596	1.0	0.2922054997512272	2-class	elmo_characters	single_id	sst_tokens	True	20	True	64	[['tokens', 'num_tokens']]	bucket	False	0.3	2	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.3	True	216	217	2	lstm	True	132	1296	2	lstm	0.0	[0.3, 0]	5152	2	[166, 2]	3	relu	0.1	[217, 217, 217]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	True	4447.808	3983	4691	5495	5507	2787	6033	3479	6425	0.8956617243272927	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2627633938501621	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	0.0019528082234886667	adam	10	+accuracy	0.9437212786201592	1.0	4447.808	4382.0	20	3983	4691	4901	5507	2787	3519	3479	6091	0.14209913763934215	0	0.8899082568807339	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.3016067434634481	6919	elmo frozen
12	28	0.8910550458715596	1.0	0.2938871404954365	2-class	elmo_characters	single_id	sst_tokens	True	37	True	64	[['tokens', 'num_tokens']]	bucket	False	0.1	2	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.0	True	464	329	2	lstm	True	318	2784	2	lstm	0.1	[0.1, 0.1, 0.1, 0]	6640	4	[189, 189, 189, 2]	4	tanh	0.0	[329, 329, 329]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	True	4551.308	5069	5129	5067	5557	5879	5109	5991	7551	0.8874244920373421	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.26581279779302663	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	7.740115581156337e-06	adam	10	+accuracy	0.9303297771119704	1.0	4551.308	8339.0	37	4253	5129	5067	5557	4243	5109	4371	4385	0.17620161429790712	0	0.8887614678899083	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.2950029373168945	6919	elmo frozen
13	9	0.8302752293577982	1.0	0.39060353487730026	2-class	elmo_characters	single_id	sst_tokens	True	18	True	64	[['tokens', 'num_tokens']]	bucket	False	0.2	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.3	True	293	70	3	lstm	True	164	1758	2	lstm	0.0	[0.4, 0.4, 0]	1312	3	[203, 203, 2]	6	tanh	0.0	[70, 70, 70]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4456.524	5069	5127	4423	4755	5879	5109	5397	7551	0.8495332235035694	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.3397281154476363	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	4.9548451830093534e-06	adam	10	+accuracy	0.8800838107577383	1.0	4456.524	3579.0	18	5069	5127	4423	4755	5879	5109	5397	7551	0.2916478720648031	0	0.8291284403669725	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.3881409540772438	6919	elmo frozen
14	14	0.8532110091743119	1.0	0.3575432928545134	2-class	elmo_characters	single_id	sst_tokens	True	23	True	64	[['tokens', 'num_tokens']]	bucket	False	0.1	2	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.2	True	348	211	3	lstm	True	289	2088	1	lstm	0.4	[0.1, 0.1, 0]	6408	3	[252, 252, 2]	3	relu	0.3	[211, 211, 211]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	True	4467.3279999999995	4687	5613	6083	5893	5301	5033	6185	3975	0.8682042833607908	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.32234549162716697	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	6	0.5	2	reduce_on_plateau	50	1	3.2508239585053523e-06	adam	10	+accuracy	0.886440472093447	1.0	4467.3279999999995	4935.0	23	0	5613	6083	0	5301	0	0	3975	0.2730039209489339	0	0.8509174311926605	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.35680393874645233	6919	elmo frozen
15	18	0.8795871559633027	1.0	0.2978319972753525	2-class	elmo_characters	single_id	sst_tokens	True	27	True	64	[['tokens', 'num_tokens']]	bucket	False	0.0	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.2	True	360	201	1	lstm	True	260	2160	2	lstm	0.2	[0, 0]	2080	2	[304, 2]	5	tanh	0.2	[201, 201, 201]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4463.788	5093	5061	6753	5759	5355	6031	4519	4385	0.8923668314113125	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2596158472628429	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	1.4336585855391196e-05	adam	10	+accuracy	0.9067858371965908	1.0	4463.788	4852.0	27	4335	5061	6753	5759	5355	6031	4519	3915	0.2266380020110853	0	0.8772935779816514	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.29629745334386826	6919	elmo frozen
16	20	0.9071100917431192	1.0	0.2448456095797675	2-class	elmo_characters	single_id	sst_tokens	True	29	True	64	[['tokens', 'num_tokens']]	bucket	False	0.4	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.3	True	182	273	1	lstm	True	313	1092	3	lstm	0.2	[0.3, 0.3, 0.3, 0]	2504	4	[195, 195, 195, 2]	4	relu	0.4	[273, 273, 273]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4469.668	4687	4693	3689	5507	5301	5031	6185	6091	0.9049972542559034	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2408053692558716	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.0005491408838438337	adam	10	+accuracy	0.9480838917343158	1.0	4469.668	5428.0	29	4687	3111	3689	5299	5301	5031	6185	3973	0.1370527277690952	0	0.9013761467889908	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.25059727260044645	6919	elmo frozen
17	19	0.9036697247706422	1.0	0.31428616281066624	2-class	elmo_characters	single_id	sst_tokens	True	28	True	64	[['tokens', 'num_tokens']]	bucket	False	0.0	1	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5	0.1	True	344	82	3	lstm	True	149	2064	3	lstm	0.0	[0.2, 0.2, 0.2, 0]	1192	4	[226, 226, 226, 2]	3	tanh	0.2	[82, 82, 82]	1324	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	False	embedding	bcn	True	False	4458.004	5093	5129	6753	5759	5355	5437	4371	4385	0.9082921471718836	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.2665763582135069	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	0.00042743603822368236	adam	10	+accuracy	0.9553110512784178	1.0	4458.004	5569.0	28	4335	5059	6753	5759	5355	5437	4371	3915	0.11721268946418315	0	0.9013761467889908	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	elmo_characters	single_id	sst_tokens	False	0.3226053129349436	6919	elmo frozen
